2023-11-01 19:45:12;POWER;2074.509;VOLTAGE;227.4;CURRENT;8.986
2023-11-01 19:45:14;POWER;2070.159;VOLTAGE;227.4;CURRENT;9.048
2023-11-01 19:45:16;POWER;2088.207;VOLTAGE;227.4;CURRENT;9.087
2023-11-01 19:45:18;POWER;2074.996;VOLTAGE;227.4;CURRENT;9.003
2023-11-01 19:45:20;POWER;2070.628;VOLTAGE;227.4;CURRENT;9.003
2023-11-01 19:45:22;POWER;2063.391;VOLTAGE;227.4;CURRENT;8.992
2023-11-01 19:45:23;POWER;2072.09;VOLTAGE;227.4;CURRENT;8.965
2023-11-01 19:45:25;POWER;2028.883;VOLTAGE;227.4;CURRENT;9.025
2023-11-01 19:45:27;POWER;2000.927;VOLTAGE;227.4;CURRENT;8.709
2023-11-01 19:45:29;POWER;2128.218;VOLTAGE;229.3;CURRENT;8.704
2023-11-01 19:45:31;POWER;2142.261;VOLTAGE;229.3;CURRENT;9.236
2023-11-01 19:45:33;POWER;2125.801;VOLTAGE;229.3;CURRENT;9.132
2023-11-01 19:45:35;POWER;128.844;VOLTAGE;235.0;CURRENT;9.132
2023-11-01 19:45:36;POWER;75.585;VOLTAGE;235.0;CURRENT;0.509
2023-11-01 19:45:38;POWER;88.633;VOLTAGE;233.1;CURRENT;0.503
2023-11-01 19:45:40;POWER;71.073;VOLTAGE;233.1;CURRENT;0.564
2023-11-01 19:45:42;POWER;78.238;VOLTAGE;233.1;CURRENT;0.534
2023-11-01 19:45:44;POWER;83.417;VOLTAGE;233.1;CURRENT;0.547
2023-11-01 19:45:46;POWER;64.738;VOLTAGE;233.1;CURRENT;0.528
2023-11-01 19:45:49;POWER;77.245;VOLTAGE;233.1;CURRENT;0.557
2023-11-01 19:45:51;POWER;73.689;VOLTAGE;233.1;CURRENT;0.642
2023-11-01 19:45:53;POWER;75.386;VOLTAGE;233.1;CURRENT;0.593
2023-11-01 19:45:55;POWER;77.083;VOLTAGE;233.1;CURRENT;0.545
2023-11-01 19:45:57;POWER;77.01;VOLTAGE;233.1;CURRENT;0.545
2023-11-01 19:45:58;POWER;77.01;VOLTAGE;233.1;CURRENT;0.062
2023-11-01 19:46:00;POWER;98.433;VOLTAGE;233.1;CURRENT;0.758
2023-11-01 19:46:02;POWER;57.428;VOLTAGE;233.1;CURRENT;0.437
2023-11-01 19:46:04;POWER;72.769;VOLTAGE;233.1;CURRENT;0.579
2023-11-01 19:46:06;POWER;76.216;VOLTAGE;233.1;CURRENT;0.579
2023-11-01 19:46:08;POWER;79.754;VOLTAGE;233.1;CURRENT;0.598
2023-11-01 19:46:10;POWER;80.439;VOLTAGE;233.1;CURRENT;0.477
2023-11-01 19:46:12;POWER;80.584;VOLTAGE;235.0;CURRENT;0.517
2023-11-01 19:46:14;POWER;77.949;VOLTAGE;235.0;CURRENT;0.556
2023-11-01 19:46:16;POWER;75.44;VOLTAGE;235.0;CURRENT;0.474
2023-11-01 19:46:18;POWER;83.417;VOLTAGE;235.0;CURRENT;0.584
2023-11-01 19:46:19;POWER;77.552;VOLTAGE;235.0;CURRENT;0.528
2023-11-01 19:46:21;POWER;75.386;VOLTAGE;235.0;CURRENT;0.528
2023-11-01 19:46:23;POWER;79.699;VOLTAGE;233.1;CURRENT;0.547
2023-11-01 19:46:25;POWER;71.758;VOLTAGE;233.1;CURRENT;0.532
2023-11-01 19:46:27;POWER;71.758;VOLTAGE;233.1;CURRENT;0.055
2023-11-01 19:46:29;POWER;7.778;VOLTAGE;233.1;CURRENT;0.449
2023-11-01 19:46:31;POWER;120.181;VOLTAGE;233.1;CURRENT;0.663
2023-11-01 19:46:33;POWER;81.811;VOLTAGE;233.1;CURRENT;0.663
2023-11-01 19:46:35;POWER;70.928;VOLTAGE;233.1;CURRENT;0.623
2023-11-01 19:46:37;POWER;74.61;VOLTAGE;233.1;CURRENT;0.588
2023-11-01 19:46:39;POWER;76.433;VOLTAGE;233.1;CURRENT;0.506
2023-11-01 19:46:40;POWER;74.935;VOLTAGE;233.1;CURRENT;0.594
2023-11-01 19:46:42;POWER;75.693;VOLTAGE;233.1;CURRENT;0.528
2023-11-01 19:46:44;POWER;80.042;VOLTAGE;233.1;CURRENT;0.552
2023-11-01 19:46:46;POWER;71.957;VOLTAGE;233.1;CURRENT;0.552
2023-11-01 19:46:48;POWER;81.107;VOLTAGE;233.1;CURRENT;0.632
2023-11-01 19:46:50;POWER;86.486;VOLTAGE;233.1;CURRENT;0.528
2023-11-01 19:46:52;POWER;79.032;VOLTAGE;233.1;CURRENT;0.575
2023-11-01 19:46:54;POWER;76.938;VOLTAGE;233.1;CURRENT;0.576
2023-11-01 19:46:55;POWER;76.974;VOLTAGE;233.1;CURRENT;0.504
2023-11-01 19:46:57;POWER;4.457;VOLTAGE;233.1;CURRENT;0.504
2023-11-01 19:46:59;POWER;69.99;VOLTAGE;233.1;CURRENT;0.06
2023-11-01 19:47:01;POWER;103.469;VOLTAGE;233.1;CURRENT;0.709
2023-11-01 19:47:03;POWER;82.93;VOLTAGE;233.1;CURRENT;0.569
2023-11-01 19:47:05;POWER;71.524;VOLTAGE;233.1;CURRENT;0.623
2023-11-01 19:47:07;POWER;76.324;VOLTAGE;233.1;CURRENT;0.49
2023-11-01 19:47:09;POWER;82.461;VOLTAGE;231.2;CURRENT;0.49
2023-11-01 19:47:11;POWER;89.229;VOLTAGE;231.2;CURRENT;0.565
2023-11-01 19:47:13;POWER;68.022;VOLTAGE;231.2;CURRENT;0.577
